"id","nazev","stat","pohori","rok_vzniku","rok_vzniku_zdroj","historicke_milniky","historicke_milniky_zdroj","kapacita_luzek","kapacita_luzek_zdroj","provoz","provoz_zdroj","oteviraci_doba","oteviraci_doba_zdroj","web","web_zdroj","telefon","telefon_zdroj","email","email_zdroj","gps_lat","gps_lat_zdroj","gps_lng","gps_lng_zdroj","zajimavost","zajimavost_kategorie","zajimavost_zdroj","jistota","overeno_k"
"HUT-0001","Luční bouda","Česko","Krkonoše","neuvedeno","neuvedeno","1625 — po požáru byla bouda znovu vybudována; 1914 — přestavěna na velkou horskou boudu se 100 pokoji","https://www.lucnibouda.cz/cs/historie/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://www.lucnibouda.cz/","https://www.lucnibouda.cz/","+420 733 740 888","https://www.lucnibouda.cz/cs/kontakt/","info@lucnibouda.cz","https://www.lucnibouda.cz/cs/kontakt/","50.7343761","https://www.openstreetmap.org/?mlat=50.7343761&mlon=15.6970289#map=18/50.7343761/15.6970289","15.6970289","https://www.openstreetmap.org/?mlat=50.7343761&mlon=15.6970289#map=18/50.7343761/15.6970289","Provozovatel uvádí téměř čtyřsetletou historii objektu.","stáří","https://www.lucnibouda.cz/cs/historie/","A","2026-07-21"
"HUT-0002","Labská bouda","Česko","Krkonoše","1975","https://www.labskabouda.cz/","1830 — na místě vznikla jednoduchá budka; 1965 — původní hostinec vyhořel; 1975 — dokončena současná budova","https://www.labskabouda.cz/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","restaurace a bufet 10:00–21:00; kuchyně do 19:30","https://www.labskabouda.cz/","https://www.labskabouda.cz/","https://www.labskabouda.cz/","+420 720 952 909","https://www.labskabouda.cz/kontakt/","info@labskabouda.cz","https://www.labskabouda.cz/kontakt/","50.7702778","https://www.openstreetmap.org/?mlat=50.7702778&mlon=15.5458333#map=18/50.7702778/15.5458333","15.5458333","https://www.openstreetmap.org/?mlat=50.7702778&mlon=15.5458333#map=18/50.7702778/15.5458333","V objektu funguje meteorologická stanice a pracoviště pro měření slunečního záření a ozonu.","jiné","https://www.labskabouda.cz/","A","2026-07-21"
"HUT-0003","Chata Výrovka","Česko","Krkonoše","1990","https://www.vyrovka.cz/o-vyrovce/","1926 — postaven vojenský srub; 1948 — vznikla provizorní bouda s třicetilůžkovou noclehárnou; 1988–1990 — postavena současná budova","https://www.vyrovka.cz/o-vyrovce/","65","https://kct.cz/chaty/chata-vyrovka/","neuvedeno","neuvedeno","chata 7:00–22:00; kuchyně 7:00–20:00","https://www.vyrovka.cz/","https://www.vyrovka.cz/","https://www.vyrovka.cz/","+420 725 107 808; +420 601 547 135","https://www.vyrovka.cz/o-vyrovce/","rezervace@vyrovka.cz","https://www.vyrovka.cz/o-vyrovce/","50.7154381","https://www.openstreetmap.org/?mlat=50.7154381&mlon=15.6802939#map=18/50.7154381/15.6802939","15.6802939","https://www.openstreetmap.org/?mlat=50.7154381&mlon=15.6802939#map=18/50.7154381/15.6802939","KČT ji označuje za nejvýše položenou chatu Klubu českých turistů.","výška","https://kct.cz/chaty/chata-vyrovka/","A","2026-07-21"
"HUT-0004","Vosecká bouda","Česko","Krkonoše","neuvedeno","neuvedeno","před 1743 — vznikla jako seník; 1896 — začala sloužit turistům; po druhé světové válce — získala dnešní podobu","https://voseckabouda.cz/","43","https://voseckabouda.cz/ubytovani/","sezónně (1. 6.–28. 10. 2026)","https://voseckabouda.cz/","kuchyně do 19:00","https://voseckabouda.cz/ubytovani/","https://voseckabouda.cz/","https://voseckabouda.cz/","+420 481 529 610","https://voseckabouda.cz/kontakt/","vosecka.bouda@seznam.cz","https://voseckabouda.cz/kontakt/","50.7829811","https://www.openstreetmap.org/?mlat=50.7829811&mlon=15.5110061#map=18/50.7829811/15.5110061","15.5110061","https://www.openstreetmap.org/?mlat=50.7829811&mlon=15.5110061#map=18/50.7829811/15.5110061","Bouda není napojena na elektrickou síť.","jiné","https://kct.cz/chaty/vosecka-bouda/","B","2026-07-21"
"HUT-0005","Martinova bouda","Česko","Krkonoše","1642","https://www.martinovka.cz/cz/historie.php","cca 1642 — založena horská enkláva; 1795 — Martin Erlebach obnovil zemědělskou boudu","https://www.martinovka.cz/cz/historie.php","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://www.martinovka.cz/","https://www.martinovka.cz/","+420 499 422 235; +420 602 823 767","https://www.martinovka.cz/cz/kontakt.php","info@martinovka.cz","https://www.martinovka.cz/cz/kontakt.php","50.7720247","https://www.openstreetmap.org/?mlat=50.7720247&mlon=15.5753931#map=18/50.7720247/15.5753931","15.5753931","https://www.openstreetmap.org/?mlat=50.7720247&mlon=15.5753931#map=18/50.7720247/15.5753931","Provozovatel řadí enklávu mezi nejstarší sídla v Krkonoších.","stáří","https://www.martinovka.cz/cz/historie.php","A","2026-07-21"
"HUT-0006","Brádlerovy boudy","Česko","Krkonoše","neuvedeno","neuvedeno","1637 — první písemná zmínka; 1890 — zřízen hostinec u Velkého Šišáku; 1925 — používán název Brádlerova bouda","https://www.bradlerovy-boudy.cz/o-nas/","88","https://kct.cz/chaty/bradlerovy-boudy/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://www.bradlerovy-boudy.cz/","https://www.bradlerovy-boudy.cz/kontakt/","+420 602 322 032 (pouze doprava)","https://www.bradlerovy-boudy.cz/kontakt/","info@bradlerovy-boudy.cz","https://www.bradlerovy-boudy.cz/kontakt/","50.7675844","https://www.openstreetmap.org/?mlat=50.7675844&mlon=15.5850094#map=18/50.7675844/15.5850094","15.5850094","https://www.openstreetmap.org/?mlat=50.7675844&mlon=15.5850094#map=18/50.7675844/15.5850094","Provozovatel uvádí, že prvotní stavba patří mezi nejstarší krkonošské boudy.","stáří","https://www.bradlerovy-boudy.cz/o-nas/","A","2026-07-21"
"HUT-0007","Špindlerova bouda","Česko","Krkonoše","1784","https://www.spindlerovabouda.cz/","1784 — počátek historie Špindlerovy boudy","https://www.spindlerovabouda.cz/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://www.spindlerovabouda.cz/","https://www.spindlerovabouda.cz/","+420 499 329 040; +420 725 855 397","https://www.spindlerovabouda.cz/kontakt","info@spindlerovabouda.cz","https://www.spindlerovabouda.cz/kontakt","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","A","2026-07-21"
"HUT-0008","Erlebachova bouda","Česko","Krkonoše","neuvedeno","neuvedeno","neuvedeno","neuvedeno","180","https://www.erlebachovabouda.cz/firemni-akce","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://www.erlebachovabouda.cz/","https://www.erlebachovabouda.cz/","+420 731 598 895","https://www.erlebachovabouda.cz/kontakty","betlem@rsvf.cz","https://www.erlebachovabouda.cz/kontakty","50.7589631","https://www.openstreetmap.org/?mlat=50.7589631&mlon=15.6341229895#map=18/50.7589631/15.6341229895","15.6341229895","https://www.openstreetmap.org/?mlat=50.7589631&mlon=15.6341229895#map=18/50.7589631/15.6341229895","neuvedeno","neuvedeno","neuvedeno","A","2026-07-21"
"HUT-0009","Moravská bouda","Česko","Krkonoše","1876","https://moravskabouda.cz/cs","1850 — na místě stál přístřešek na seno; 1876 — rodina Erlebachových postavila boudu; 1982 — natáčely se zde interiérové scény filmu Sněženky a machři; 1989 — celková rekonstrukce","https://moravskabouda.cz/cs","52","https://moravskabouda.cz/cs","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://moravskabouda.cz/cs","https://moravskabouda.cz/cs","+420 604 684 140","https://moravskabouda.cz/cs","moravska@seznam.cz","https://moravskabouda.cz/cs","neuvedeno","neuvedeno","neuvedeno","neuvedeno","V roce 1982 zde vznikly některé interiérové scény filmu Sněženky a machři.","jiné","https://moravskabouda.cz/cs","A","2026-07-21"
"HUT-0010","Petrova bouda","Česko","Krkonoše","1811","https://www.petrovabouda.cz/p/historie-petrovy-boudy.html","cca 1790 — první zprávy o objektu; 1811 — Johann Pittermann postavil celoročně obývanou boudu; 1925–1929 — rozšíření na 64 pokojů a 100 lůžek","https://www.petrovabouda.cz/p/historie-petrovy-boudy.html","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://www.petrovabouda.cz/","https://www.petrovabouda.cz/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","Historický web uvádí, že zde byla roku 1910 zřízena první veřejná telefonní stanice v horské boudě na české straně Krkonoš.","jiné","https://www.petrovabouda.cz/p/historie-petrovy-boudy.html","B","2026-07-21"
