ID chaty,Chata,Země,Pohoří,Nejbližší obec / uzel,Pořadí,Výchozí bod,Typ výchozího bodu,Doprava / návaznost,Sezóna / omezení,Jistota,Zdrojové URL,Poznámka,Ověřeno k
HUT-0001,Luční bouda,Česko,Krkonoše,Pec pod Sněžkou,1,"Pec pod Sněžkou, autobusové nádraží / parkoviště P1",horské středisko + autobus + parkoviště,linkový autobus; parkování P1,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.krkonose.eu/za-krasnymi-vyhledy-na-snezku
https://www.lucnibouda.cz/
https://www.krkonose.eu/vylety",Nejběžnější pěší nástup vede z Pece přes Obří důl nebo přes Výrovku; ze Špindlerova Mlýna přes Bílé Labe.,2026-07-21
HUT-0001,Luční bouda,Česko,Krkonoše,Pec pod Sněžkou,2,"Špindlerův Mlýn, Medvědín",středisko + parkoviště + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.krkonose.eu/za-krasnymi-vyhledy-na-snezku
https://www.lucnibouda.cz/
https://www.krkonose.eu/vylety",Nejběžnější pěší nástup vede z Pece přes Obří důl nebo přes Výrovku; ze Špindlerova Mlýna přes Bílé Labe.,2026-07-21
HUT-0001,Luční bouda,Česko,Krkonoše,Pec pod Sněžkou,3,"Pec pod Sněžkou, Růžová hora – mezistanice lanovky",lanovka,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.krkonose.eu/za-krasnymi-vyhledy-na-snezku
https://www.lucnibouda.cz/
https://www.krkonose.eu/vylety",Nejběžnější pěší nástup vede z Pece přes Obří důl nebo přes Výrovku; ze Špindlerova Mlýna přes Bílé Labe.,2026-07-21
HUT-0002,Labská bouda,Česko,Krkonoše,Špindlerův Mlýn,1,"Horní Mísečky, centrální parkoviště a autobus na Zlaté návrší",parkoviště + sezónní turistický autobus,autobus z Horních Míseček na Zlaté návrší,hlavně léto a podzim; autobus na Zlaté návrší je sezónní,A,"https://pohadkove.krkonose.eu/labska-bouda
https://www.labskabouda.cz/
https://www.krkonose.eu/vylety",Nejsnazší varianta vede ze Zlatého návrší; delší klasická trasa vede z Horních Míseček nebo Špindlerova Mlýna.,2026-07-21
HUT-0002,Labská bouda,Česko,Krkonoše,Špindlerův Mlýn,2,"Špindlerův Mlýn, Medvědín",středisko + autobus + parkoviště,,hlavně léto a podzim; autobus na Zlaté návrší je sezónní,A,"https://pohadkove.krkonose.eu/labska-bouda
https://www.labskabouda.cz/
https://www.krkonose.eu/vylety",Nejsnazší varianta vede ze Zlatého návrší; delší klasická trasa vede z Horních Míseček nebo Špindlerova Mlýna.,2026-07-21
HUT-0002,Labská bouda,Česko,Krkonoše,Špindlerův Mlýn,3,"Szklarska Poręba, horní stanice lanovky Szrenica",přeshraniční lanovka + hřebenová trasa,,hlavně léto a podzim; autobus na Zlaté návrší je sezónní,A,"https://pohadkove.krkonose.eu/labska-bouda
https://www.labskabouda.cz/
https://www.krkonose.eu/vylety",Nejsnazší varianta vede ze Zlatého návrší; delší klasická trasa vede z Horních Míseček nebo Špindlerova Mlýna.,2026-07-21
HUT-0003,Chata Výrovka,Česko,Krkonoše,Pec pod Sněžkou,1,"Pec pod Sněžkou, autobusové nádraží / parkoviště P1",horské středisko + autobus + parkoviště,linkový autobus; parkování P1,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.krkonose.eu/chata-vyrovka
https://www.vyrovka.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0003,Chata Výrovka,Česko,Krkonoše,Pec pod Sněžkou,2,"Strážné, náměstí / autobusová zastávka",horská obec + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.krkonose.eu/chata-vyrovka
https://www.vyrovka.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0003,Chata Výrovka,Česko,Krkonoše,Pec pod Sněžkou,3,"Špindlerův Mlýn, Svatý Petr",středisko + autobus + parkoviště,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.krkonose.eu/chata-vyrovka
https://www.vyrovka.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0004,Vosecká bouda,Česko,Krkonoše,Harrachov,1,"Harrachov, autobusové nádraží",horské středisko + autobus,autobus; pěší nástup přes Mumlavský vodopád,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.voseckabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0004,Vosecká bouda,Česko,Krkonoše,Harrachov,2,"Harrachov, Mumlavský vodopád",parkoviště + turistický uzel,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.voseckabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0004,Vosecká bouda,Česko,Krkonoše,Harrachov,3,"Jakuszyce, železniční stanice Polana Jakuszycka",vlak + přeshraniční trasa,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.voseckabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0005,Martinova bouda,Česko,Krkonoše,Špindlerův Mlýn,1,"Špindlerův Mlýn, Medvědín / Dívčí lávky",středisko + parkoviště + autobus,autobus do Špindlerova Mlýna,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.martinovka.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0005,Martinova bouda,Česko,Krkonoše,Špindlerův Mlýn,2,"Špindlerova bouda, autobusová zastávka",hřebenová autobusová zastávka,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.martinovka.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0005,Martinova bouda,Česko,Krkonoše,Špindlerův Mlýn,3,"Horní Mísečky, parkoviště",parkoviště + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.martinovka.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0006,Brádlerovy boudy,Česko,Krkonoše,Špindlerův Mlýn,1,"Špindlerův Mlýn, Medvědín / Dívčí lávky",středisko + parkoviště + autobus,autobus do Špindlerova Mlýna,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.bradlerovy-boudy.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0006,Brádlerovy boudy,Česko,Krkonoše,Špindlerův Mlýn,2,"Špindlerova bouda, autobusová zastávka",hřebenová autobusová zastávka,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.bradlerovy-boudy.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0006,Brádlerovy boudy,Česko,Krkonoše,Špindlerův Mlýn,3,"Horní Mísečky, parkoviště",parkoviště + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.bradlerovy-boudy.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0007,Špindlerova bouda,Česko,Krkonoše,Špindlerův Mlýn,1,"Špindlerova bouda, autobusová zastávka",hřebenová autobusová zastávka,pravidelný autobus ze Špindlerova Mlýna,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.spindlerovabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0007,Špindlerova bouda,Česko,Krkonoše,Špindlerův Mlýn,2,"Špindlerův Mlýn, autobusové nádraží",horské středisko + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.spindlerovabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0008,Erlebachova bouda,Česko,Krkonoše,Špindlerův Mlýn,1,"Špindlerova bouda, autobusová zastávka",hřebenová autobusová zastávka,pravidelný autobus ze Špindlerova Mlýna,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.erlebachovabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0008,Erlebachova bouda,Česko,Krkonoše,Špindlerův Mlýn,2,"Špindlerův Mlýn, autobusové nádraží",horské středisko + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.erlebachovabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0009,Moravská bouda,Česko,Krkonoše,Špindlerův Mlýn,1,"Špindlerova bouda, autobusová zastávka",hřebenová autobusová zastávka,autobus ze Špindlerova Mlýna,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.moravskabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0009,Moravská bouda,Česko,Krkonoše,Špindlerův Mlýn,2,"Špindlerův Mlýn, Medvědín / Dívčí lávky",středisko + parkoviště,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.moravskabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0010,Petrova bouda,Česko,Krkonoše,Špindlerův Mlýn,1,"Špindlerova bouda, autobusová zastávka",hřebenová autobusová zastávka,autobus ze Špindlerova Mlýna,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.petrovabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0010,Petrova bouda,Česko,Krkonoše,Špindlerův Mlýn,2,"Špindlerův Mlýn, Medvědín / Dívčí lávky",středisko + parkoviště,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.petrovabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0011,Bouda u Bílého Labe,Česko,Krkonoše,Špindlerův Mlýn,1,"Špindlerův Mlýn, parkoviště Medvědín",středisko + parkoviště + autobus,autobus do Špindlerova Mlýna,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.krkonose.eu/udolim-bileho-labe-a-po-uklonech-kozich-hrbetu
https://www.boudabilelabe.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0011,Bouda u Bílého Labe,Česko,Krkonoše,Špindlerův Mlýn,2,"Špindlerův Mlýn, centrum / autobusové nádraží",horské středisko + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.krkonose.eu/udolim-bileho-labe-a-po-uklonech-kozich-hrbetu
https://www.boudabilelabe.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0012,Dvoračky,Česko,Krkonoše,Rokytnice nad Jizerou,1,"Rokytnice nad Jizerou, Horní Domky",horské středisko + parkoviště + autobus,skibus / místní autobus podle sezóny,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.dvoracky.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0012,Dvoračky,Česko,Krkonoše,Rokytnice nad Jizerou,2,"Lysá hora, horní stanice lanovky",horní stanice lanovky,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.dvoracky.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0012,Dvoračky,Česko,Krkonoše,Rokytnice nad Jizerou,3,"Rezek, autobusová zastávka",horská zastávka autobusu,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.dvoracky.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0013,Chata Rezek,Česko,Krkonoše,Vítkovice,1,"Rezek, autobusová zastávka / parkoviště",horská autobusová zastávka + parkoviště,sezónní a regionální autobusové spoje,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.rezek.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0013,Chata Rezek,Česko,Krkonoše,Vítkovice,2,"Vítkovice, centrum",horská obec + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.rezek.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0014,Rýchorská bouda,Česko,Krkonoše,Žacléř,1,"Horní Maršov, Temný Důl",autobusová zastávka + parkoviště,linkový autobus,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.rychorskabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0014,Rýchorská bouda,Česko,Krkonoše,Žacléř,2,"Žacléř, Rýchorské náměstí",město + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.rychorskabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0014,Rýchorská bouda,Česko,Krkonoše,Žacléř,3,"Horní Albeřice, muzeum Vápenka",horská obec + parkoviště,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.rychorskabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0015,Bouda Jelenka,Česko,Krkonoše,Malá Úpa,1,"Pomezní Boudy, autobusová zastávka",hřebenové středisko + autobus + parkoviště,linkový a turistický autobus,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.jelenka.eu/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0015,Bouda Jelenka,Česko,Krkonoše,Malá Úpa,2,"Pec pod Sněžkou, autobusové nádraží",horské středisko + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.jelenka.eu/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0016,Pomezní bouda,Česko,Krkonoše,Malá Úpa,1,"Pomezní Boudy, autobusová zastávka / parkoviště",hřebenové středisko + autobus + parkoviště,linkový a turistický autobus,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.krnap.cz/navstevnici/tipy-na-vylet/z-horni-male-upy-pres-simovy-chalupy-do-pece-pod-snezkou/
https://www.krkonose.eu/vylety",,2026-07-21
