"id","nazev","nazvy_historicke","zeme","pohori","oblast_cast","lat","lng","gps_presnost","gps_zdroj","rok_vzniku","rok_vzniku_zdroj","rok_zaniku","rok_zaniku_zdroj","pricina_zaniku","pricina_zdroj","co_je_dnes","co_je_dnes_zdroj","patrne_pozustatky","pristupnost","pristupnost_poznamka","popis","popis_zdroj","jistota","zdroj_1","zdroj_2","zdroj_3","overeno_k"
"ZANIK-001","Obří bouda","Riesenbaude","Česko","Krkonoše","Obří pláň, Obří sedlo pod Sněžkou","50.738860","15.728970","přesná","https://www.zanikleobce.cz/index.php?obec=2515","1847","https://www.zanikleobce.cz/index.php?obec=2515","1982","https://archakrkonos.cz/objekty/148-pec-cp-106-obri-bouda-zaniklo-v-r-1982/","demolice po uzavření a devastaci objektu","https://www.zanikleobce.cz/index.php?obec=2515","upravené vyhlídkové místo a zbytky základů","https://www.zanikleobce.cz/index.php?obec=2515","ano","na značené trase","Místo leží u hlavní hřebenové trasy mezi Sněžkou a Obřím sedlem; výstup Obřím dolem může mít sezonní omezení.","Obří boudu postavil roku 1847 kupec Mittlöhner na okraji Úpské jámy. Po druhé světové válce ještě sloužila, později byla pro technický stav uzavřena a po devastaci roku 1982 zbořena; na místě jsou doloženy základy a upravená vyhlídka.","https://www.zanikleobce.cz/index.php?obec=2515","A","https://archakrkonos.cz/objekty/148-pec-cp-106-obri-bouda-zaniklo-v-r-1982/","https://www.zanikleobce.cz/index.php?obec=2515","https://www.krkonose.eu/en/obri-dul","2026-07-22"
"ZANIK-002","Česká bouda na Sněžce","Česká bouda; Böhmische Baude; Böhmischebaude","Česko","Krkonoše","vrchol Sněžky","50.735800","15.739890","přibližná","https://mapcarta.com/de/18501556","1867","https://archakrkonos.cz/objekty/269-pec-cp-238-ceska-bouda-zaniklo-r-2004/","2004","https://www.snezka.net/ceska_bouda.htm","demolice po uzavření a dlouhodobém chátrání","https://www.snezka.net/ceska_bouda.htm","na části základové terasy stojí Česká poštovna; původní bouda neexistuje","https://ct24.ceskatelevize.cz/clanek/regiony/postovna-na-snezce-by-mohla-zacit-fungovat-za-tri-tydny-154290","ano","na značené trase","Vrchol Sněžky je dostupný po značených trasách a lanovkou; souřadnice označují přibližné místo bývalé boudy na vrcholu.","Hostinský Julius Blaschke postavil na české straně Sněžky roku 1867 restauraci, později známou jako Česká bouda. Po uzavření v roce 1990 objekt chátral a Správa KRNAP jej na podzim 2004 odstranila; část původní terasy byla později využita při stavbě České poštovny.","https://www.snezka.net/ceska_bouda.htm","A","https://archakrkonos.cz/objekty/269-pec-cp-238-ceska-bouda-zaniklo-r-2004/","https://www.snezka.net/ceska_bouda.htm","https://www.irozhlas.cz/zpravy-domov/likvidace-ceske-boudy-jde-pomalu_200410211001_mkaclova","2026-07-22"
"ZANIK-003","Sokolská bouda","Sokolská bouda; Sokolbaude","Česko","Krkonoše","Černá hora, Volské boudy","50.649294","15.748389","přesná","https://www.wikidata.org/wiki/Q12055287","1928","https://archakrkonos.cz/objekty/1682-ch-cp-172-sokolska-bouda-zaniklo-2019/","2019","https://archakrkonos.cz/objekty/1682-ch-cp-172-sokolska-bouda-zaniklo-2019/","demolice zchátralé a dlouhodobě neprovozované stavby","https://hradec.rozhlas.cz/sokolska-bouda-na-cerne-hore-je-zhruba-ze-dvou-tretin-zbourana-co-a-kdy-se-na-8091485","původní stavba je odstraněna; další využití parcely nebylo v použitých zdrojích potvrzeno","https://archakrkonos.cz/objekty/1682-ch-cp-172-sokolska-bouda-zaniklo-2019/","neuvedeno","na značené trase","Místo bývalé boudy leží u turistického rozcestí na Černé hoře.","Rozsáhlou roubenou Sokolskou boudu navrhl architekt František Kavalír a stavba proběhla v letech 1928 až 1929. Po dlouhém chátrání byla v roce 2019 rozebrána a zdemolována.","https://archakrkonos.cz/objekty/1682-ch-cp-172-sokolska-bouda-zaniklo-2019/","A","https://archakrkonos.cz/objekty/1682-ch-cp-172-sokolska-bouda-zaniklo-2019/","https://hradec.rozhlas.cz/sokolska-bouda-na-cerne-hore-je-zhruba-ze-dvou-tretin-zbourana-co-a-kdy-se-na-8091485","https://www.turistika.cz/mista/turisticke-rozcesti-cerna-hora-sokolska-bouda/detail","2026-07-22"
"ZANIK-004","Modrodolská bouda","Modrodolská bouda; Blaugrundbaude","Česko","Krkonoše","Modrý důl","50.713730","15.711360","přesná","https://mapcarta.com/N13300061296","před 1771","https://archakrkonos.cz/objekty/6-pec-cp-101-modrodolska-bouda-zaniklo-1954/","1954","https://archakrkonos.cz/objekty/6-pec-cp-101-modrodolska-bouda-zaniklo-1954/","požár","https://archakrkonos.cz/objekty/6-pec-cp-101-modrodolska-bouda-zaniklo-1954/","zbořeniště se zbytkem sklepa a základů, vzrostlé stromy a drobná stavba bývalé prádelny","https://archakrkonos.cz/objekty/6-pec-cp-101-modrodolska-bouda-zaniklo-1954/","ano","neuvedeno","Poloha je evidována v Modrém dole; bezpečná veřejná přístupnost přesného zbořeniště nebyla z použitých zdrojů potvrzena.","Na místě je doložena stavební parcela už před rokem 1771 a objekt později sloužil jako horské hospodářství i bouda s restaurací a ubytováním. Bouda zanikla požárem roku 1954 a dochovaly se části sklepa, základů a bývalá prádelna.","https://archakrkonos.cz/objekty/6-pec-cp-101-modrodolska-bouda-zaniklo-1954/","B","https://archakrkonos.cz/objekty/6-pec-cp-101-modrodolska-bouda-zaniklo-1954/","https://mapcarta.com/N13300061296","neuvedeno","2026-07-22"
"ZANIK-005","Bobí bouda","Bobí bouda; Bohnwiesbaude; Bodenwiesbauden","Česko","Krkonoše","Lučiny","50.669917","15.728611","přibližná","https://prazdnedomy.cz/domy/objekty/detail/4201-bobi-bouda","před 1668","https://www.krkonosskeboudy.cz/2014/01/bobi-bouda.html","neuvedeno","neuvedeno","požár; přesný rok je ve veřejných zdrojích sporný","https://www.krkonosskeboudy.cz/2014/01/bobi-bouda.html","objekt neexistuje; přesný stav pozůstatků nebyl v použitých zdrojích doložen","https://archakrkonos.cz/objekty/2557-cd-cp-181-bobi-bouda-zaniklo/","neuvedeno","neuvedeno","Poloha je přibližná. Ve zdrojích se rozcházejí údaje o roce požáru, proto rok zániku zůstává neuveden.","Bobí bouda je doložena na mapě z roku 1668 a později sloužila jako horská bouda i zotavovna ROH. Její zánik způsobil požár, avšak dostupné internetové zdroje a svědectví uvádějí rozdílné roky, proto katalog přesné datum nepřebírá.","https://www.krkonosskeboudy.cz/2014/01/bobi-bouda.html","C","https://archakrkonos.cz/objekty/2557-cd-cp-181-bobi-bouda-zaniklo/","https://www.krkonosskeboudy.cz/2014/01/bobi-bouda.html","https://prazdnedomy.cz/domy/objekty/detail/4201-bobi-bouda","2026-07-22"
"ZANIK-006","Havlova bouda","Havlova bouda","Česko","Krkonoše","Na Výrovce, sedlo mezi Luční a Zadní Planinou","50.714714","15.680497","odvozená","https://commons.wikimedia.org/wiki/File:Havlova_bouda_u_Vyrovky_01.jpg","1927","https://archakrkonos.cz/objekty/2778-pec-cp-203-havlova-bouda-zaniklo/","1947","https://archakrkonos.cz/objekty/2778-pec-cp-203-havlova-bouda-zaniklo/","požár","https://archakrkonos.cz/objekty/2778-pec-cp-203-havlova-bouda-zaniklo/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","Souřadnice jsou odvozené z geolokace historické fotografie a označují pouze přibližnou lokalizaci u Výrovky.","Vojenský výcvikový srub s 36 místnostmi vznikl roku 1927 péčí generála ženijního vojska Františka Havla. Archa Krkonoš uvádí, že 6. února 1947 bouda vyhořela do základů.","https://archakrkonos.cz/objekty/2778-pec-cp-203-havlova-bouda-zaniklo/","B","https://archakrkonos.cz/objekty/2778-pec-cp-203-havlova-bouda-zaniklo/","https://commons.wikimedia.org/wiki/File:Havlova_bouda_u_Vyrovky_01.jpg","neuvedeno","2026-07-22"
"ZANIK-007","Klínová bouda","Klínová bouda; Klínovka; Keilbaude","Česko","Krkonoše","Klínové boudy","50.709167","15.662222","přesná","https://www.filmovamista.cz/lokalita/zaber?id=5991-byv--Klinovska-bouda--Krkonose","neuvedeno","neuvedeno","1970","https://www.krkonosskeboudy.cz/2014/01/klinova-bouda.html","požár","https://www.krkonosskeboudy.cz/2014/01/klinova-bouda.html","studánka s pitnou vodou a turistický přístřešek","https://www.krkonosskeboudy.cz/2014/01/klinova-bouda.html","ne","na značené trase","Lokalitou Klínových bud prochází několik značených turistických cest; na místě boudy je přístřešek a studánka.","Klínová bouda byla nejvýše položeným objektem enklávy Klínové boudy. Roku 1970 vyhořela a nebyla obnovena; na jejím místě je dnes pitný pramen a turistický přístřešek.","https://www.krkonosskeboudy.cz/2014/01/klinova-bouda.html","A","https://www.krkonosskeboudy.cz/2014/01/klinova-bouda.html","https://zpravy.aktualne.cz/domaci/foto-zanikle-boudy-v-krkonosich/r~0560a048262811ee8c6f0cc47ab5f122/r~204171e8263d11ee9ae20cc47ab5f122/","https://www.filmovamista.cz/lokalita/zaber?id=5991-byv--Klinovska-bouda--Krkonose","2026-07-22"
"ZANIK-008","Kovárna","Kovárna; Bergschmiede","Česko","Krkonoše","Obří důl","50.725833","15.730000","přibližná","https://tourism.cz/encyklopedie/objekty1.phtml?id=129770","neuvedeno","neuvedeno","1979","https://www.pecpodsnezkou.cz/turisticke-cile/dul-kovarna/horska-sluzba/","demolice po dlouhodobém chátrání","https://www.pecpodsnezkou.cz/turisticke-cile/dul-kovarna/horska-sluzba/","v blízkosti se nachází vstup do historického dolu Kovárna; přesná podoba místa bývalé boudy není ve zdrojích uvedena","https://www.pecpodsnezkou.cz/turisticke-cile/dul-kovarna/horska-sluzba/","neuvedeno","na značené trase","Bývalá bouda stála v Obřím dole u důlního díla; souřadnice jsou přibližné a vztahují se k místu u vstupu do dolu.","Objekt vznikl u důlní kovárny a po ukončení těžby sloužil jako hostinec a horská bouda. Od padesátých let chátral a roku 1979 byl zbourán.","https://www.pecpodsnezkou.cz/turisticke-cile/dul-kovarna/horska-sluzba/","A","https://archakrkonos.cz/objekty/38-pec-cp-210-kovarna-zaniklo-1979/","https://www.pecpodsnezkou.cz/turisticke-cile/dul-kovarna/horska-sluzba/","https://tourism.cz/encyklopedie/objekty1.phtml?id=129770","2026-07-22"
"ZANIK-009","Liščí bouda","Liščí bouda; Fuchsbergbaude","Česko","Krkonoše","Liščí louka pod Liščí horou","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","1948","https://archakrkonos.cz/objekty/2548-cd-cp-190-lisci-bouda-zaniklo-1948/","požár z nezjištěné příčiny","https://www.krkonosskeboudy.cz/2014/01/lisci-bouda.html","původní bouda nebyla obnovena; na Liščí louce zůstaly jiné objekty","https://www.krkonosskeboudy.cz/2014/01/lisci-bouda.html","neuvedeno","neuvedeno","Zdroj potvrzuje polohu na Liščí louce, ale přesná veřejně ověřená souřadnice bývalé stavby nebyla nalezena.","Z původní chalupy vybudoval Johann Fischer rozsáhlý horský hotel, který patřil k významným boudám na hřebenech. Liščí bouda roku 1948 vyhořela z nezjištěných příčin a již nebyla obnovena.","https://www.krkonosskeboudy.cz/2014/01/lisci-bouda.html","A","https://archakrkonos.cz/objekty/2548-cd-cp-190-lisci-bouda-zaniklo-1948/","https://www.krkonosskeboudy.cz/2014/01/lisci-bouda.html","https://ekolist.cz/cz/zpravodajstvi/co-pisi-jini/lisci-louka","2026-07-22"
"ZANIK-010","Hradecká bouda","Hradecká bouda","Česko","Krkonoše","Liščí louka","neuvedeno","neuvedeno","neuvedeno","neuvedeno","1937","https://archakrkonos.cz/objekty/111-pec-cp-63-hradecka-bouda-zaniklo-r-1971/","1971","https://archakrkonos.cz/objekty/111-pec-cp-63-hradecka-bouda-zaniklo-r-1971/","požár; podle zdroje pravděpodobně samovznícení sena na půdě","https://ekolist.cz/cz/zpravodajstvi/co-pisi-jini/lisci-louka","louka, parcela 279","https://archakrkonos.cz/objekty/111-pec-cp-63-hradecka-bouda-zaniklo-r-1971/","ne","neuvedeno","Přesná poloha bývalé stavby nebyla z veřejných mapových zdrojů bezpečně určena.","Český Ski-Klub v Hradci Králové přestavěl starší dům na horskou chatu s ubytovnou; přestavba byla oficiálně dokončena roku 1937. V roce 1971 bouda vyhořela, podle regionálního textu pravděpodobně po samovznícení sena, a nebyla obnovena.","https://ekolist.cz/cz/zpravodajstvi/co-pisi-jini/lisci-louka","A","https://archakrkonos.cz/objekty/111-pec-cp-63-hradecka-bouda-zaniklo-r-1971/","https://ekolist.cz/cz/zpravodajstvi/co-pisi-jini/lisci-louka","https://archakrkonos.cz/lokality/15-lisci-louka-fuchsbergbauden/","2026-07-22"
