"fact_id","hut_id","zanik_id","objekt","typ_objektu","kategorie","navrh_pole_katalogu","hodnota","zdroj_url","zdroj_nazev","zdroj_web","datum_zdroje","povaha_zdroje","casova_povaha","jistota","poznamka","overeno_k"
"FACT-0001","neuvedeno","neuvedeno","Krkonošské boudy","aktivní chata","historie obecně","historicky_kontext","Původní boudy vznikaly jako letní salaše na lučních enklávách; od poloviny 18. století se část z nich stávala celoročními sídly budařských rodin.","https://www.krkonose.eu/krkonosske-boudy","Krkonošské boudy","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0002","neuvedeno","neuvedeno","Krkonošské boudy","aktivní chata","historie obecně","historicky_kontext","Památky organizované turistiky v Krkonoších sahají podle regionálního přehledu ke konci 18. století; boudy na hřebenech začaly sloužit také k přespání turistů.","https://www.krkonose.eu/historie-regionu","Historie regionu","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0003","neuvedeno","neuvedeno","Krkonošské boudy","aktivní chata","historie obecně","historicky_kontext","Kudy z nudy uvádí, že nejstarší horské boudy vznikaly přibližně v polovině 17. století jako útočiště pro pastevce a později se přizpůsobily turistům.","https://www.kudyznudy.cz/aktuality/pet-vyletu-na-hrebeny-krkonos-za-pribehy-kultovnic","Vydejte se do Krkonoš za příběhy kultovních horských bud","Kudy z nudy","neuvedeno","oficiální turistický portál / redakční text","stabilní","B","","2026-07-22"
"FACT-0004","HUT-0001","neuvedeno","Luční bouda","aktivní chata","historie","rok_vzniku / historický milník","Při přestavbě roku 1869 byl nalezen základní kámen s letopočtem 1623; článek připouští existenci objektu již ve druhé polovině 16. století.","https://www.seznamzpravy.cz/clanek/magazin-historie-historie-lucni-boudy-278325","Luční bouda měla být mega stavbou s tunelem pro řeku","Seznam Zprávy","2025-06-07","redakční článek","stabilní","B","","2026-07-22"
"FACT-0005","HUT-0001","neuvedeno","Luční bouda","aktivní chata","historie","historické_milniky","První písemný doklad uváděný článkem je kupní smlouva z roku 1707, kdy objekt získal Christoph Erben.","https://www.seznamzpravy.cz/clanek/magazin-historie-historie-lucni-boudy-278325","Luční bouda měla být mega stavbou s tunelem pro řeku","Seznam Zprávy","2025-06-07","redakční článek","stabilní","B","","2026-07-22"
"FACT-0006","HUT-0001","neuvedeno","Luční bouda","aktivní chata","historie","vlastnici_historicti","Od roku 1772 byla bouda přibližně sto let spojena s rodinou Rennerů.","https://www.seznamzpravy.cz/clanek/magazin-historie-historie-lucni-boudy-278325","Luční bouda měla být mega stavbou s tunelem pro řeku","Seznam Zprávy","2025-06-07","redakční článek","stabilní","B","","2026-07-22"
"FACT-0007","HUT-0001","neuvedeno","Luční bouda","aktivní chata","gastro","historicka_vyroba","Rennerovi zde provozovali hospodářství a vyráběli mimo jiné mléčné a bylinné sýry.","https://www.seznamzpravy.cz/clanek/magazin-historie-historie-lucni-boudy-278325","Luční bouda měla být mega stavbou s tunelem pro řeku","Seznam Zprávy","2025-06-07","redakční článek","stabilní","B","","2026-07-22"
"FACT-0008","HUT-0001","neuvedeno","Luční bouda","aktivní chata","historie","historické_milniky","V noci z 1. na 2. října 1938 bouda vyhořela; článek uvádí dvě teorie a pachatele neoznačuje za potvrzeného.","https://www.seznamzpravy.cz/clanek/magazin-historie-historie-lucni-boudy-278325","Luční bouda měla být mega stavbou s tunelem pro řeku","Seznam Zprávy","2025-06-07","redakční článek","stabilní","B","","2026-07-22"
"FACT-0009","HUT-0001","neuvedeno","Luční bouda","aktivní chata","válka","historické_milniky","Po požáru byla obnovena za protektorátu a objekt využíval Wehrmacht k výcviku.","https://www.seznamzpravy.cz/clanek/magazin-historie-historie-lucni-boudy-278325","Luční bouda měla být mega stavbou s tunelem pro řeku","Seznam Zprávy","2025-06-07","redakční článek","stabilní","B","","2026-07-22"
"FACT-0010","HUT-0001","neuvedeno","Luční bouda","aktivní chata","architektura","zajimavost","Velkorysý válečný projekt počítal mimo jiné s tunelem pro tok řeky; realizován byl jen částečně.","https://www.seznamzpravy.cz/clanek/magazin-historie-historie-lucni-boudy-278325","Luční bouda měla být mega stavbou s tunelem pro řeku","Seznam Zprávy","2025-06-07","redakční článek","tvrzení zdroje","B","","2026-07-22"
"FACT-0011","HUT-0001","neuvedeno","Luční bouda","aktivní chata","osobnosti","historicke_milniky","Eugen Bönsch zde provozoval plachtařskou školu; článek mu připisuje let ze Studniční hory delší než dvě a půl hodiny.","https://www.seznamzpravy.cz/clanek/magazin-historie-historie-lucni-boudy-278325","Luční bouda měla být mega stavbou s tunelem pro řeku","Seznam Zprávy","2025-06-07","redakční článek","tvrzení zdroje","B","","2026-07-22"
"FACT-0012","HUT-0001","neuvedeno","Luční bouda","aktivní chata","provoz","kapacita_luzek","Článek uvádí možnost ubytování až 150 hostů.","https://www.seznamzpravy.cz/clanek/magazin-historie-historie-lucni-boudy-278325","Luční bouda měla být mega stavbou s tunelem pro řeku","Seznam Zprávy","2025-06-07","redakční článek","stabilní","B","","2026-07-22"
