"hut_id","zanik_id","objekt","pocet_faktu","pocet_zdroju","kategorie","hlavni_zdroje","upozorneni","overeno_k"
"HUT-0073","neuvedeno","Bezručova chata na Lysé hoře","1","1","historie","https://www.seznamzpravy.cz/clanek/magazin-cestovani-horske-chaty-beskydy-268613","bez zvláštního upozornění","2026-07-22"
"HUT-0015","neuvedeno","Bouda Jelenka","7","1","gps; historické názvy; historie; kapacita; kontakt; poloha; výška","https://www.krkonose.eu/bouda-jelenka","obsahuje údaj jistoty C / rozpor","2026-07-22"
"HUT-0011","neuvedeno","Bouda u Bílého Labe","6","1","gps; historie; kapacita; kontakt; výška","https://www.krkonose.eu/bouda-u-bileho-labe","bez zvláštního upozornění","2026-07-22"
"HUT-0006","neuvedeno","Brádlerovy boudy","5","1","historie","https://www.seznamzpravy.cz/clanek/magazin-cestovani-bradlerovy-boudy-historie-fotky-280785","obsahuje údaj jistoty C / rozpor","2026-07-22"
"HUT-0027","neuvedeno","Chalupa Na Rozcestí","1","1","gastro","https://www.kudyznudy.cz/aktuality/pet-vyletu-na-hrebeny-krkonos-za-pribehy-kultovnic","obsahuje dynamické údaje k novému ověření","2026-07-22"
"neuvedeno","neuvedeno","Chata Velký Javorník","1","1","historie","https://www.seznamzpravy.cz/clanek/magazin-cestovani-horske-chaty-beskydy-268613","bez zvláštního upozornění","2026-07-22"
"HUT-0003","neuvedeno","Chata Výrovka","9","2","architektura; gps; historické názvy; historie; kapacita; kontakt","https://www.seznamzpravy.cz/clanek/magazin-cestovani-krkonose-vyrovka-282401; https://www.krkonose.eu/chata-vyrovka","bez zvláštního upozornění","2026-07-22"
"HUT-0012","neuvedeno","Dvoračky","7","2","gastro; historie; stavba; výška; zanik predchudce","https://www.seznamzpravy.cz/clanek/magazin-cestovani-bouda-dvoracky-stumpovka-283330; https://www.seznamzpravy.cz/clanek/magazin-cestovani-padly-kvuli-drevomorce-ted-slavne-dvoracky-na-vrcholu-krkonos-otevrou-v-novem-293666","obsahuje dynamické údaje k novému ověření","2026-07-22"
"neuvedeno","neuvedeno","Dvorská bouda","8","1","doprava; historie; kapacita; provoz; služby; vlastníci; výška","https://www.kudyznudy.cz/aktivity/dvorska-bouda-v-krkonosich","obsahuje dynamické údaje k novému ověření","2026-07-22"
"HUT-0008","neuvedeno","Erlebachova bouda","2","1","doprava; výška","https://www.kudyznudy.cz/aktivity/erlebachova-bouda-v-krkonosich","obsahuje dynamické údaje k novému ověření","2026-07-22"
