Číslo,Název
2,Ovčárna
4,Šerák 1351m
5,Červenohorské sedlo
8,Švýcárna
10,Alfrédka
11,Luční bouda
12,Chata Výrovka
13,Chalupa na Rozcestí
14,Chata Rozhled - Krkonoše
19,Osada Rezek - Krkonoše
20,Sněžka
22,Dvoračky - Štumpovka - Krkonoše
24,Vosecká bouda
28,Šerlich
33,Špičák
34,Rozhledna Bramberk - Jizerské hory
35,Chata Severák
36,Královka
38,Šámalova chata
39,Pláně pod Ještědem - Ještědský hřbet
40,Ještěd 1012m
41,Prezidentská chata
42,Horská chata Smědava - Jizerské hory
43,"Panský dům, Jizerka"
44,Jizerka
45,Soláň
46,Martiňák
47,"Třeštík, horský hotel Sůkenická"
48,Chata Prašivá
49,Javorový
50,Lysá hora
51,Pustevny
53,Radhošť - Beskydy
54,Gruň
55,Bílý kříž
56,Visalaje
61,Modrava
62,Srní
63,Prášily - Šumava
67,Plešivec
70,Klínovec 1244m
72,Komáří vížka
74,Labská bouda
75,Růžohorky
77,Skřítek
78,Čertovy kameny
79,Rabštejn - Jeseníky
81,Velký Javorník 918m chata P.J.R.
86,Rozhledna Tetřev
87,Chata Skalka
93,Ropička
94,Na Kotaři
146,Kozákov
184,Luž
186,Kyjov
188,Na Tokáni - České Švýcarsko
193,Bischofstein Teplické skály
347,Rozhledna - Chata Svatobor
348,Andrlův Chlum - Hvězda
349,Rozhledna Suchý Vrch
380,Paprsek
381,Návrší
382,Tesák
383,Čeřínek
385,U Veličků
386,Horská chata Gírová - Slezské beskydy
390,Rýchorská bouda
391,Kohútka
393,Vrbatova bouda
394,Brádlerovy boudy
489,Turistická chata na Lovoši
502,Turnerova chata
510,Pancíř - Šumava
535,Rozhledna Zvičina
537,Jiráskova chata Dobrošov
539,Rozhledna Lázek u Lanškrouna
671,Petrova bouda
674,Martinova bouda
675,Portášky
701,Rozhledna Koráb na Šumavě
703,Rozhledna Libín u Prachatic
706,Rozhledna Kleť - Blanský les
768,Jurkovičova chata - Peklo
901,Bouřňák
907,Bílá Opava - Barborka
935,Kamenná chata Velký Polom
1018,Chata Doroťanka
1040,Na Trojáku
1077,Rozhledna Mostná Hora
1087,Bunč Chřiby
1119,Chata Filipka
1195,Ostrý 1044m
1238,Kolářova chata Slavíč
1250,Severomoravská chata
1274,Medvědí bouda
1296,Rozhledna Rašovka
1299,"Frotzelova rozhledna na Stříbrníku u Loun, 275 m"
1300,Portáš
1316,Říjiště
1336,"Lysečinská bouda, Krkonoše"
1347,Tetřeví boudy
1366,Chata Kamenitý
1367,Horská bouda Jelenka
1557,Masarykova chata na Beskydě
1592,Luisino údolí - Krkonošské roubenky
1594,"Na vyhlídce, Nová Ves"
1602,Richtrovy boudy
1719,Kolínská bouda - Pec pod Sněžkou
1735,Šikmá věž - Český ráj
1772,Horská chata Kozinec - Beskydy
1867,Chata Studeničné
1873,Moravská Bouda - Krkonoše
1889,"Špindlerova bouda, Krkonoše"
1909,"Horní Mísečky, Krkonoše"
1935,"Chata Hubertka, Jizerské hory"
2012,Bouda u Bílého Labe - Špindlerův Mlýn
2047,Chata Severka
2049,"Friesovy boudy, Krkonoše"
2156,Vsacký Cáb
2210,"Lyžařská bouda, Liščí louka, Krkonoše"
2249,"Pražská bouda, Krkonoše"
2274,"Bezručova chata, Lysá hora"
2381,"Fojtský grúň, Beskydy"
2540,"Modrokamenná Bouda, Krkonoše"
2610,Horská chata na Perlíčku
2692,Česko - Bavorské informační středisko Alžbětín
3032,"Bouda Klínovka, Krkonoše"
3080,Informační středisko na Mariánskohorských boudách
