ID chaty,Název chaty,Země,Pohoří,Systém,Číslo / kód,Oficiální název,Detail URL,Stav,Typ shody,Jistota,Poznámka,Ověřeno k
HUT-0001,Luční bouda,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-411,Luční bouda,https://cs.wander-book.com/lucni-bouda-m211.htm,vyřazena z projektu v roce 2025; e-shop do vyprodání zásob,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0001,Luční bouda,Česko,Krkonoše,Turistické známky,11,Luční bouda,https://www.turisticke-znamky.cz/znamky/lucni-bouda-c11,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0002,Labská bouda,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-1223,Labská bouda,https://cs.wander-book.com/labska-bouda-m224.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0002,Labská bouda,Česko,Krkonoše,Turistické známky,74,Labská bouda,https://www.turisticke-znamky.cz/znamky/labska-bouda-c74,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0003,Chata Výrovka,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-359,Chata Výrovka,https://cs.wander-book.com/chata-vyrovka-m624.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0003,Chata Výrovka,Česko,Krkonoše,Turistické známky,12,Chata Výrovka,https://www.turisticke-znamky.cz/znamky/chata-vyrovka-c12,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0004,Vosecká bouda,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-2065,Vosecká bouda,https://cs.wander-book.com/vosecka-bouda-m233.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0004,Vosecká bouda,Česko,Krkonoše,Turistické známky,24,Vosecká bouda,https://www.turisticke-znamky.cz/znamky/vosecka-bouda-c24,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0005,Martinova bouda,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-2141,Martinova bouda,https://cs.wander-book.com/martinova-bouda-m1034.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0005,Martinova bouda,Česko,Krkonoše,Turistické známky,674,Martinova bouda,https://www.turisticke-znamky.cz/znamky/martinova-bouda-c674,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
