04-kontrola-b.yaml | perex | název pole | …Neutrální perex bez tvrzení a bez letopočtů.…
05-kontrola-c.yaml | perex | doména/TLD | …Popis boudy podle serveru krkonosech.eu, tedy ve skloňovaném tvaru.…
05-kontrola-c.yaml | perex | vsuvka pramene | …Popis boudy podle serveru krkonosech.eu, tedy ve skloňovaném tvaru.…
08-hranice-slova.yaml | perex | cena | …Nocleh vyjde na 250 Kč, v Polsku na 40 zł, a ceník visí u vchodu. C…
08-hranice-slova.yaml | perex | cena | …Nocleh vyjde na 250 Kč, v Polsku na 40 zł, a ceník visí u vchodu. Chata je na známkách…
08-hranice-slova.yaml | perex | cena | …Nocleh vyjde na 250 Kč, v Polsku na 40 zł, a ceník visí u vchodu. Chata je na známkách č. 673 a…
08-hranice-slova.yaml | perex | číslo známky | …na 40 zł, a ceník visí u vchodu. Chata je na známkách č. 673 a 1602, píše katalog.…
08-hranice-slova.yaml | text[0] | URL | …ně na +420 499 123 456. Podrobnosti stojí na https://www.chata-fixtura.cz a taky na krkonose.eu.…
08-hranice-slova.yaml | text[0] | URL | …20 499 123 456. Podrobnosti stojí na https://www.chata-fixtura.cz a taky na krkonose.eu.…
08-hranice-slova.yaml | text[0] | doména/TLD | …Napsat se dá na info@chata-fixtura.cz nebo zavolat na 499 123 456, případně na +42…
08-hranice-slova.yaml | text[0] | doména/TLD | …99 123 456. Podrobnosti stojí na https://www.chata-fixtura.cz a taky na krkonose.eu.…
08-hranice-slova.yaml | text[0] | doména/TLD | …jí na https://www.chata-fixtura.cz a taky na krkonose.eu.…
08-hranice-slova.yaml | text[0] | e-mail | …Napsat se dá na info@chata-fixtura.cz nebo zavolat na 499 123 456, případně na +42…
08-hranice-slova.yaml | text[0] | telefon | … dá na info@chata-fixtura.cz nebo zavolat na 499 123 456, případně na +420 499 123 456. Podrobnosti s…
08-hranice-slova.yaml | text[0] | telefon | ….cz nebo zavolat na 499 123 456, případně na +420 499 123 456. Podrobnosti stojí na https://www.…
08-hranice-slova.yaml | text[1] | GPS | …Souřadnice 50.7361 N, 15.7402 E odpovídají bodu, který…
08-hranice-slova.yaml | text[1] | GPS | …Souřadnice 50.7361 N, 15.7402 E odpovídají bodu, který server Č…
08-hranice-slova.yaml | text[1] | GPS | …Souřadnice 50.7361 N, 15.7402 E odpovídají bodu, který server Českéhory.cz…
08-hranice-slova.yaml | text[2] | název pole | …Pole verified a slug se do prózy nepíšou, stejně jako YAML…
08-hranice-slova.yaml | text[2] | název pole | …Pole verified a slug se do prózy nepíšou, stejně jako YAML, OSM, …
08-hranice-slova.yaml | text[2] | název pole | …fied a slug se do prózy nepíšou, stejně jako YAML, OSM, OpenStreetMap, Payload, kandidát, DATA…
08-hranice-slova.yaml | text[2] | interní pojem | … slug se do prózy nepíšou, stejně jako YAML, OSM, OpenStreetMap, Payload, kandidát, DATA-13 a…
08-hranice-slova.yaml | text[2] | interní pojem | … se do prózy nepíšou, stejně jako YAML, OSM, OpenStreetMap, Payload, kandidát, DATA-13 ani to, že profi…
08-hranice-slova.yaml | text[2] | interní pojem | …píšou, stejně jako YAML, OSM, OpenStreetMap, Payload, kandidát, DATA-13 ani to, že profil dopisuj…
08-hranice-slova.yaml | text[2] | interní pojem | …ejně jako YAML, OSM, OpenStreetMap, Payload, kandidát, DATA-13 ani to, že profil dopisuje redakce.…
08-hranice-slova.yaml | text[2] | interní pojem | …YAML, OSM, OpenStreetMap, Payload, kandidát, DATA-13 ani to, že profil dopisuje redakce.…
08-hranice-slova.yaml | text[2] | interní pojem | …etMap, Payload, kandidát, DATA-13 ani to, že profil dopisuje redakce.…
08-hranice-slova.yaml | text[2] | interní pojem | …kandidát, DATA-13 ani to, že profil dopisuje redakce.…
12-dalsi-verejny-text.yaml | zajimavosti[0].text | interní pojem | …Výška objektu pochází z OpenStreetMap a v terénu ověřená není.…
12-dalsi-verejny-text.yaml | otviraciDoba | telefon | …Denně 9:00–17:00, rezervace na 499 123 456.…
12-dalsi-verejny-text.yaml | autem | doména/TLD | …Příjezd popisuje chata-fixtura.cz, parkoviště je u dolní stanice.…
12-dalsi-verejny-text.yaml | sezona | cena | …eloročně, mimo sezónu se platí příplatek 250 Kč…
13-vzory-data18.yaml | perex | GPS | …Souřadnice objektu pocházejí z mapových dat a v terénu…
13-vzory-data18.yaml | text[0] | interní pojem | …Profil zatím stojí na jediném prameni, v profilu pr…
13-vzory-data18.yaml | text[0] | interní pojem | …Profil zatím stojí na jediném prameni, v profilu proto chybí kapacita a s profilem si nevysta…
13-vzory-data18.yaml | text[0] | interní pojem | … prameni, v profilu proto chybí kapacita a s profilem si nevystačíme.…
13-vzory-data18.yaml | text[1] | GPS | …pecialitami a tohle sloveso se chytit nesmí; souřadnice psané malým písmenem se naopak chytit mají.…
21-vsuvka-pramene.yaml | perex | vsuvka pramene | …Bouda stojí podle Kudy z nudy na hřebeni a dle portálu Trasygorskie má kuc…
21-vsuvka-pramene.yaml | perex | vsuvka pramene | …Bouda stojí podle Kudy z nudy na hřebeni a dle portálu Trasygorskie má kuchyni.…
21-vsuvka-pramene.yaml | text[0] | vsuvka pramene | …Podle webu města se tu parkuje u kostela a podle oficiá…
21-vsuvka-pramene.yaml | text[0] | vsuvka pramene | …Podle webu města se tu parkuje u kostela a podle oficiální stránky PTTK je otevřeno celoročně.…

souboru: 22 | zasahu: 41
